EventID,TaskGroupID,TaskID,TaskType,ObjectName,RescName,RescNum,RescEffect,ImageDir,NameKor,NameEng,TextKor,TextEng,System
10000,2000,50000,text,null,null,null,2,255_255_255_1,null,null,“한국어로 플레이”,“Play in English”,null
10000,2000,50001,text,null,null,null,2,255_255_255_1,null,null,“경고. \n이 게임에 등장하는 모든 인물 및 이름은 허구입니다만 실제로 일어난 사건 사고를 바탕으로 제작된 부분이 있습니다. 또한 정신적 가정폭력에 대한 묘사가 포함되어 있으므로 유의바랍니다. ”,"Warning. \nThough every characters and their names are fictional, some portion of the events that transpire in the game were based on real crimes. This game also contains violence and coarse language. Viewer discretion is advised. ",null
10000,2000,50002,time,null,null,null,5000,null,null,null,null,null,null
10000,2000,50003,text,null,null,null,2,255_255_255_1,null,null,“안전 불감증 : 모든 것이 안전할거라고 생각하며 위험은 없다고 생각하는 사람들에게 나타는 증상”,“A false sense of security : A belief that you are safe when you are not”,null
10000,2000,50004,time,null,null,null,5000,null,null,null,null,null,null
10000,2000,50005,text,null,null,null,3,null,null,null,“안전 불감증 : 모든 것이 안전할거라고 생각하며 위험은 없다고 생각하는 사람들에게 나타는 증상”,“A false sense of security : A belief that you are safe when you are not”,null
10000,2000,50006,image1,null,img_keys,0,2,255_255_255_1,null,null,null,null,null
10000,2000,50007,time,null,null,null,3000,null,null,null,null,null,null
10000,2000,50008,image1,null,img_keys,0,3,255_255_255_0,null,null,null,null,null
10001,2001,50009,image1,null,img_coverall,null,1,0_0_0_1,null,null,null,null,null
10001,2001,50010,spawn,obj_player,spot_indoor,0,1,255_255_255_1,null,null,null,null,null
10001,2001,50011,image2,null,img_dark,0,1,0_0_0_1,null,null,null,null,null
10001,2001,50012,bgm,null,bgm_night,0,2,null,null,null,null,null,null
10001,2001,50013,bgm,null,bgm_night,0,4,null,null,null,null,null,null
10001,2001,50014,time,null,null,null,2000,null,null,null,null,null,null
10001,2001,50015,image1,null,img_coverall,null,3,0_40_80_0.7,null,null,null,null,null
10001,2001,50016,sfx,null,sfx_lock_slide_up,1,1,null,null,null,null,null,null
10001,2001,50017,sfx,null,sfx_lock_buttons1,1,1,null,null,null,null,null,null
10001,2001,50018,sfx,null,sfx_lock_open,1,1,null,null,null,null,null,null
10001,2001,50019,sfx,null,sfx_door_open,1,1,null,null,null,null,null,null
10001,2001,50020,sfx,null,sfx_shoes_off,1,1,null,null,null,null,null,null
10001,2001,50021,sfx,null,sfx_door_close,1,1,null,null,null,null,null,null
10001,2001,50022,walk,obj_player,spot_bed,null,5000,null,null,null,null,null,null
10001,2001,50023,object,obj_player,spr_boy_idle_1,3,0,null,null,null,null,null,null
10001,2001,50024,sfx,null,sfx_bed_creak,1,5,null,null,null,null,null,null
10001,2001,50025,object,obj_bed,spr_bed1,1,1,null,null,null,null,null,null
10001,2001,50026,time,null,null,null,2000,null,null,null,null,null,null
10001,2001,50027,portrait,null,portrait_mc_boy,1,1,null,남자,Man,“으으… 속 쓰려. 너무 달렸나…”,“Ugh... it's been a while since I had a sour stomach. I should've known I was overdrinking...”,null
10001,2001,50028,portrait,null,portrait_mc_boy,2,1,null,남자,Man,“으… 우욱!”,“Ugh... Hrgh!”,null
10001,2001,50029,portrait,null,null,null,0,null,null,null,null,null,null
10001,2001,50030,object,obj_bed,spr_bed1,0,0,null,null,null,null,null,null
10001,2001,50031,object,obj_player,spr_boy_idle_1,3,1,null,null,null,null,null,null
10001,2001,50032,walk,obj_player,spot_in_toilet,null,1000,null,null,null,null,null,null
10001,2001,50033,sfx,null,sfx_door_close,1,5,null,null,null,null,null,null
10001,2001,50034,object,obj_toilet_door,spr_toilet_door,1,1,null,null,null,null,null,null
10001,2001,50035,image1,null,img_coverall,0,2,0_0_0_1,null,null,null,null,null
10001,2001,50036,spawn,obj_guitar_case,spot_kitchen,0,1,null,null,null,null,null,null
10001,2001,50037,sfx,null,sfx_toilet_flush,1,5,null,null,null,null,null,null
10001,2001,50038,image1,null,img_coverall,null,3,0_40_80_0.7,null,null,null,null,null
10001,2001,50039,object,obj_toilet_door,spr_toilet_door,0,1,null,null,null,null,null,null
10001,2001,50040,time,null,null,null,1000,null,null,null,null,null,null
10001,2001,50041,walk,obj_player,spot_bed,null,3000,null,null,null,null,null,null
10001,2001,50042,object,obj_player,spr_boy_idle_1,3,0,null,null,null,null,null,null
10001,2001,50043,sfx,null,sfx_bed_creak,1,5,null,null,null,null,null,null
10001,2001,50044,object,obj_bed,spr_bed1,1,1,null,null,null,null,null,null
10001,2001,50045,portrait,null,portrait_mc_boy,3,1,null,남자,Man,“하아… 그래도 내일은 주말이니까 망정이지. ”,“*sigh* At least it's weekend tomorrow. ”,null
10001,2001,50046,portrait,null,portrait_mc_boy,4,1,null,남자,Man,“씻고… 자야… 되는… 데… … …”,“Gotta take a shower... before... drifting off... ”,null
10001,2001,50047,portrait,null,portrait_mc_boy,4,0,null,null,null,null,null,null
10001,2001,50048,sfx,null,sfx_breathing,1,4,null,null,null,null,null,null
10001,2001,50049,animation,obj_bed,anim_boy_sleep,null,0,null,null,null,null,null,null
10001,2001,50050,image1,null,img_coverall,0,2,0_0_0_1,null,null,null,null,null
10001,2001,50051,bgm,null,bgm_night,1,3,null,null,null,null,null,null
10001,2001,50052,sfx,null,sfx_breathing,1,3,null,null,null,null,null,null
10001,2001,50053,time,null,null,null,2000,null,null,null,null,null,null
10001,2001,50054,bgm,null,bgm_clock_tick,0.5,4,null,null,null,null,null,null
10001,2001,50055,image3,null,img_case1,0,1,255_255_255_1,null,null,null,null,null
10001,2001,50056,image2,null,img_shadow,0,1,255_255_255_1,null,null,null,null,null
10001,2001,50057,image1,null,img_coverall,null,3,0_0_0_0,null,null,null,null,null
10001,2001,50058,narrative,null,null,null,1,null,null,null,“…으윽… 어지러워. ”,“...Ugh... everything's spinning. ”,null
