route,date,time,event_id,dialog_num,type,isPlayer,autoSkip,text_kor,text_en,duration,loop,color,direction,target
0,1,9999,9000,1,sfx,FALSE,TRUE,sfx_sayTalk,sfx_sayTalk,0,FALSE,0.0.0.0,null,806
0,1,9999,9000,2,object,FALSE,TRUE,img_phone_sayTalk_List,img_phone_sayTalk_List,0,FALSE,255.255.255.255,null,806
0,1,9999,9000,3,object,FALSE,TRUE,img_phone_sayTalk_Chat,img_phone_sayTalk_Chat,0,FALSE,255.255.255.255,null,806
0,1,9999,9000,4,animation,FALSE,TRUE,anim_phone_talk_on,anim_phone_talk_on,1.5,FALSE,0.0.0.0,null,806
0,1,9999,9000,5,text,FALSE,FALSE,"안녕하세요, 알바 문의 주셔서 연락드렸습니다. 면접 시간은 언제가 편하실까요?","Hello, I read your applicant regarding the part-time job. Around when can you come in for an interview?",0,FALSE,0.0.0.0,null,806
0,1,9999,9000,6,text,TRUE,FALSE,내일은 오후 3시부터 4시 사이만 아니면 다 가능합니다,"I can come in any time, aside from 3PM to 4PM.",0,FALSE,0.0.0.0,null,806
0,1,9999,9000,7,text,FALSE,FALSE,그럼 내일 오전 11시 가능하신가요?,Does 11AM sound good for you?,0,FALSE,0.0.0.0,null,806
0,1,9999,9000,8,text,TRUE,FALSE,네 가능합니다,"Yes, please.",0,FALSE,0.0.0.0,null,806
0,1,9999,9000,9,text,FALSE,FALSE,좋습니다 11시까지 이력서 지참해서 와주세요,Great! Please come by with a resume at 11.,0,FALSE,0.0.0.0,null,806
0,1,9999,9000,10,text,TRUE,FALSE,네 11시에 뵙겠습니다,"Okay, I'll be there at 11",0,FALSE,0.0.0.0,null,806
0,1,9999,9000,11,animation,FALSE,TRUE,anim_phone_talk_off,anim_phone_talk_off,1.5,FALSE,0.0.0.0,null,806
0,1,9999,9000,12,object,FALSE,TRUE,inactivate_chat,inactivate_chat,0,FALSE,255.255.255.255,null,806
5,1,1020,9001,1,sfx,FALSE,TRUE,sfx_sayTalk,sfx_sayTalk,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,2,object,FALSE,TRUE,img_phone_sayTalk_List,img_phone_sayTalk_List,0,FALSE,255.255.255.255,null,0
5,1,1020,9001,3,object,FALSE,TRUE,img_phone_sayTalk_Chat,img_phone_sayTalk_Chat,0,FALSE,255.255.255.255,null,0
5,1,1020,9001,4,animation,FALSE,TRUE,anim_phone_talk_on,anim_phone_talk_on,1.5,FALSE,0.0.0.0,null,0
5,1,1020,9001,5,text,FALSE,FALSE,뭐해?,Doing anything today?,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,6,narrative,FALSE,FALSE,"전화번호도, 이름도 알 수 없는 사람이다.",This person's number and name are both anonymous.,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,7,narrative,FALSE,FALSE,혹시 모르니 캡쳐해두는 게 나을지도 모른다.,Maybe it's best to take a screenshot of this message.,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,8,narrative,FALSE,FALSE,Q를 누르면 캡쳐할 수 있다.,You can take a screenshot by pressing Q.,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,9,narrative,FALSE,FALSE,null,null,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,10,narrative,FALSE,FALSE,당신은 이 사람을 차단했다.,You blocked this person.,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,11,narrative,FALSE,FALSE,null,null,0,FALSE,0.0.0.0,null,0
5,1,1020,9001,12,animation,FALSE,TRUE,img_phone_sayTalk_Chat,img_phone_sayTalk_Chat,0.25,FALSE,0.0.0.0,out_down,0
5,1,1020,9001,13,object,FALSE,TRUE,inactivate_chat,inactivate_chat,0,FALSE,255.255.255.255,null,0
1,1,1020,9002,1,sfx,FALSE,TRUE,sfx_sayTalk,sfx_sayTalk,0,FALSE,0.0.0.0,null,802
1,1,1020,9002,2,object,FALSE,TRUE,img_phone_sayTalk_List,img_phone_sayTalk_List,0,FALSE,255.255.255.255,null,802
1,1,1020,9002,3,object,FALSE,TRUE,img_phone_sayTalk_Chat,img_phone_sayTalk_Chat,0,FALSE,255.255.255.255,null,802
1,1,1020,9002,4,animation,FALSE,TRUE,anim_phone_talk_on,anim_phone_talk_on,1.5,FALSE,0.0.0.0,null,802
1,1,1020,9002,5,text,FALSE,FALSE,"안녕하세요, 11시에 면접 보셨던 247편의점 점장입니다.","Hi, this is the manager of the 247 convenience store you had a job interview, at 11 today.",0,FALSE,0.0.0.0,null,802
1,1,1020,9002,6,text,FALSE,FALSE,돌아오는 월요일부터 출근해주셨으면 해서 연락드립니다.,I messaged you to see if you can come in starting on Monday.,0,FALSE,0.0.0.0,null,802
1,1,1020,9002,7,text,FALSE,FALSE,"오실 때 신분증 또는 등본 사본과 함께 급여 받으실 계좌 사본, 보건증 챙겨 오시면 됩니다.","Bring a copy of your ID, a copy of your passbook, and a health certificate and you should be good.",0,FALSE,0.0.0.0,null,802
